comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
historical_joint_epoch20_vs_baseline,khanhha_original,iou,0.6238044947390237,0.6221042065954592,1695,-0.0017002881435644992,0.05498029461339493,0.0,-0.03759914598179291,0.02832679958745723,-0.004349450339101966,0.0009849361973517958,682,224,789,55,16
historical_joint_epoch20_vs_baseline,khanhha_original,dice,0.7453199181521043,0.7433969835592719,1695,-0.0019229345928324583,0.055508130772453354,0.0,-0.033044263796989264,0.02396650371467628,-0.004594160765542548,0.0006896047212275295,682,224,789,52,20
historical_joint_epoch20_vs_baseline,khanhha_noisy1,iou,0.5678115519313996,0.5671702719139617,1695,-0.0006412800174379835,0.08314265434288862,0.0,-0.06588038902724563,0.0833364308966498,-0.004530592321402592,0.003325642121671955,652,247,796,134,57
historical_joint_epoch20_vs_baseline,khanhha_noisy1,dice,0.6907005064260806,0.6876911884994982,1695,-0.003009317926582401,0.09697030238038742,0.0,-0.07009418121492407,0.07642408876465095,-0.007612988707387861,0.0016427238447995751,652,247,796,118,58
historical_joint_epoch20_vs_baseline,khanhha_noisy2,iou,0.5133437612837761,0.4848449934688206,1695,-0.028498767814955552,0.12597071185640848,0.0,-0.30734246727784387,0.06035293711004217,-0.03446416071437796,-0.022571507953156107,536,361,798,303,209
historical_joint_epoch20_vs_baseline,khanhha_noisy2,dice,0.6243293747541984,0.5837138133800122,1695,-0.040615561374185975,0.16526748719611817,0.0,-0.43949916428966257,0.054373774732148654,-0.04829309168174418,-0.03278260827869237,536,361,798,292,221
historical_joint_epoch20_vs_baseline,road420,iou,0.4836394002561577,0.4745337872293983,420,-0.00910561302675937,0.17505578163899488,-0.004807934246842532,-0.3447493100263294,0.29736210775194694,-0.025606095995861715,0.007483933445390039,202,1,217,139,99
historical_joint_epoch20_vs_baseline,road420,dice,0.6251577572863767,0.6168933541689894,420,-0.008264403117387123,0.18715723657231695,-0.003934134200928807,-0.34783824794196483,0.31162325465281554,-0.02627671089771967,0.009408106463743227,202,1,217,126,94
historical_joint_epoch20_vs_baseline,facade390,iou,0.5163686768272836,0.4989024325370098,390,-0.01746624429027389,0.13508424507632955,-0.023140234346561456,-0.22288247534013794,0.212931456552862,-0.030690923968460834,-0.0038654859844751734,162,2,226,151,90
historical_joint_epoch20_vs_baseline,facade390,dice,0.6655554364566215,0.65386524540482,390,-0.011690191051801524,0.12851558095125187,-0.01855296918469207,-0.1881208962434725,0.18292170959856804,-0.02422098284093341,0.0014591745695009034,162,2,226,142,80
historical_joint_epoch20_vs_baseline,concrete3k,iou,0.6998229373775023,0.6827934235297374,3000,-0.01702951384776496,0.10372613721784925,-0.018826680652063443,-0.12211614689160148,0.10666053021749942,-0.020636870917314868,-0.013300017810872075,749,89,2162,644,227
historical_joint_epoch20_vs_baseline,concrete3k,dice,0.7989288114855093,0.7889220770382835,3000,-0.010006734447225642,0.10046531177158292,-0.012495228974514216,-0.09068249705232496,0.08933639340872873,-0.013577624252152913,-0.006322913197974686,749,89,2162,373,125
frangi_best_prompt_vs_none,khanhha_original,iou,0.6236679140089544,0.6229724776349823,1695,-0.0006954363739719502,0.0437099963617531,0.0,-0.010954337039122297,0.014455537548073629,-0.003060983849705845,0.0011116738276312533,804,229,662,11,3
frangi_best_prompt_vs_none,khanhha_original,dice,0.7450026064602921,0.744551397838268,1695,-0.0004512086220243482,0.04426063112934519,0.0,-0.008762752506525862,0.013321599417049561,-0.00285775852310184,0.0013948637354580396,804,229,662,9,3
frangi_best_prompt_vs_none,khanhha_noisy1,iou,0.570565158322091,0.5704863157450496,1695,-7.884257704140408e-05,0.042811887703106205,0.0,-0.014008613678744652,0.017581443696220694,-0.002338798914870405,0.001835101661918429,698,264,733,13,5
